,Type,Age,Breed1,Breed2,Gender,Color1,Color2,Color3,MaturitySize,FurLength,Vaccinated,Dewormed,Sterilized,Health,Quantity,Fee,State,VideoAmt,PhotoAmt,HasName,AdoptionSpeed
116,1,36,109,0,2,2,3,4,3,2,1,1,2,1,1,0,41326,0,4,1,1
117,2,3,266,0,2,1,2,7,1,1,2,1,2,1,1,0,41326,0,3,0,4
118,2,60,285,0,1,3,0,0,2,2,1,1,2,1,1,0,41326,0,0,1,4
119,2,1,266,0,2,2,5,7,2,1,2,1,3,1,1,0,41326,0,4,1,1
120,1,3,307,0,3,1,2,7,2,2,1,1,2,1,3,150,41326,0,3,0,1
121,1,36,189,0,1,1,5,0,3,1,1,1,1,1,1,0,41326,0,4,1,2
122,1,12,206,0,1,1,6,7,2,2,1,2,2,1,1,400,41332,0,1,1,2
123,2,1,266,0,3,1,6,7,1,1,2,3,2,1,4,0,41401,0,3,1,3
124,1,0,307,307,3,1,2,3,3,1,3,3,3,1,2,0,41326,0,4,1,1
125,2,1,265,0,1,1,7,0,1,2,2,2,2,1,1,0,41326,1,1,1,2
126,1,5,70,18,1,5,7,0,2,1,1,1,1,1,1,0,41401,0,6,1,3
127,1,24,103,307,2,1,2,0,2,2,3,3,3,1,1,0,41401,0,3,1,3
128,1,3,307,0,1,2,0,0,2,2,1,1,2,1,1,0,41326,0,3,1,1
129,1,3,307,0,2,2,0,0,1,1,3,3,3,1,3,0,41332,0,1,1,4
130,1,4,307,0,2,1,0,0,2,1,2,1,2,1,1,0,41335,0,5,1,4
131,2,3,266,0,3,1,7,0,2,2,3,3,3,1,2,0,41326,0,3,1,1
132,2,1,265,0,2,1,7,0,1,2,2,2,2,1,5,0,41332,0,3,1,2
133,2,8,292,266,1,2,5,0,2,1,1,1,2,1,1,50,41326,0,8,1,2
134,2,2,303,266,3,1,2,0,2,1,2,2,2,1,2,0,41332,0,2,1,4
135,1,32,307,307,3,1,4,5,2,1,1,1,1,1,2,0,41326,0,5,1,4
136,1,3,78,307,3,1,2,0,3,1,1,1,2,1,3,0,41326,0,4,1,2
137,2,12,265,0,1,1,0,0,2,2,2,2,2,1,1,0,41326,0,1,1,3
138,1,4,307,36,2,1,2,7,2,2,1,1,1,1,1,0,41326,0,10,1,3
139,1,2,307,0,1,1,2,0,2,1,2,3,2,1,1,0,41326,0,3,1,2
140,2,7,254,303,2,1,4,7,2,1,1,1,2,1,1,0,41326,0,7,1,2
141,2,5,264,0,1,4,0,0,2,3,2,1,2,1,1,100,41401,0,5,1,3
142,2,2,265,0,2,6,7,0,2,2,1,1,2,1,2,0,41401,0,4,1,2
143,1,60,10,0,2,1,7,0,2,1,1,1,1,1,1,0,41401,0,2,1,3
144,2,4,265,247,3,1,3,7,2,2,2,2,2,1,5,0,41401,0,5,1,2
145,1,120,20,195,1,2,0,0,2,1,1,1,2,1,2,0,41326,0,1,0,1
146,1,12,307,0,2,2,0,0,2,1,1,1,1,1,1,0,41326,0,2,1,2
147,2,17,266,0,2,1,2,7,1,1,3,3,1,1,1,0,41326,0,3,1,3
148,2,2,266,0,3,4,5,7,2,1,2,2,2,1,2,0,41401,0,2,1,2
149,1,48,307,307,1,1,2,0,2,2,1,1,1,1,1,0,41326,0,2,1,2
150,1,4,307,0,2,1,7,0,2,1,1,2,2,1,1,0,41332,0,2,1,3
151,2,12,305,0,2,3,5,0,2,2,3,1,1,1,1,0,41326,0,2,1,3
152,2,12,285,292,1,1,7,0,3,3,2,1,2,1,1,0,41326,0,2,1,1
153,2,3,266,0,2,6,7,0,2,1,1,1,2,1,1,0,41401,1,3,1,2
154,1,1,307,0,3,1,2,3,2,2,2,2,2,1,3,0,41326,0,11,1,4
155,1,36,78,0,2,1,2,0,3,2,3,3,3,2,1,0,41401,0,4,0,3
156,1,12,307,0,2,5,7,0,2,1,3,3,3,1,1,0,41326,1,1,1,4
157,1,2,307,0,2,1,2,0,2,2,1,1,2,1,1,80,41327,0,1,1,4
158,1,36,78,0,1,1,0,0,2,1,1,1,1,1,1,0,41330,0,1,1,2
159,2,1,265,0,3,1,6,7,2,2,2,2,2,1,3,0,41401,0,13,1,2
160,2,1,283,0,2,4,7,0,1,1,2,2,2,1,1,0,41401,0,3,1,1
161,1,0,307,0,2,1,7,0,2,2,3,3,3,1,5,0,41401,0,5,0,1
162,1,2,307,0,2,2,0,0,2,1,1,1,2,1,1,0,41326,0,4,1,1
163,1,2,307,0,3,1,4,7,2,1,1,1,2,1,3,30,41326,0,3,1,3
164,1,2,307,307,3,2,0,0,2,2,2,2,2,1,3,0,41326,0,5,0,4
165,2,36,306,0,3,1,3,6,2,2,1,1,1,1,5,0,41326,0,0,0,4
166,1,3,307,0,3,2,4,5,2,1,3,3,3,1,5,0,41327,0,1,1,4
167,1,2,307,0,2,1,2,0,2,2,1,1,2,1,1,0,41326,0,4,1,3
168,1,1,307,0,2,2,5,7,3,1,3,1,3,1,1,0,41401,0,2,1,2
169,2,2,266,0,2,1,5,0,2,1,2,1,2,1,1,0,41326,0,3,1,2
170,2,2,292,252,1,2,5,0,1,1,2,2,2,1,1,0,41401,0,1,1,0
171,1,2,307,0,2,1,2,0,2,1,1,1,2,1,1,80,41326,0,9,1,2
172,2,3,266,0,1,4,0,0,2,1,3,1,2,1,1,0,41401,0,3,1,4
173,1,17,307,0,1,1,0,0,2,2,1,1,1,1,1,150,41401,0,1,1,4
174,1,2,307,0,3,1,2,7,2,1,3,3,3,1,8,0,41401,0,5,1,3
175,2,48,299,0,1,1,2,7,3,1,1,1,2,1,1,20,41326,0,4,1,2
176,2,1,266,0,1,1,2,0,2,1,2,2,2,1,1,0,41326,0,1,1,2
177,2,5,266,264,2,1,7,0,2,2,2,2,2,1,1,150,41326,0,4,1,2
178,1,8,307,141,1,1,2,0,2,1,3,3,1,1,1,0,41326,0,3,1,2
179,1,4,307,307,2,7,0,0,1,1,1,1,1,1,1,0,41326,0,2,1,4
180,1,3,307,0,1,1,7,0,2,1,1,1,2,1,1,0,41326,0,3,1,3
181,2,72,266,0,1,1,7,0,2,1,1,1,1,1,1,0,41326,0,10,1,4
182,2,12,266,254,2,1,4,7,2,1,3,3,3,1,5,0,41325,0,4,1,4
183,1,12,307,0,2,1,2,0,2,2,2,1,2,1,1,0,41327,0,2,0,4
184,2,12,266,266,1,3,7,0,2,1,1,1,1,1,2,0,41401,0,2,1,4
185,1,22,20,0,1,2,5,7,2,1,1,1,2,1,1,0,41401,0,0,1,3
186,1,36,307,0,1,3,0,0,2,2,3,3,2,1,1,0,41326,0,3,1,4
187,1,2,307,0,1,5,0,0,2,2,3,3,2,1,1,0,41326,0,1,1,3
188,2,4,299,0,2,1,2,0,2,1,3,3,1,1,5,0,41336,0,1,1,4
189,1,12,307,0,2,7,0,0,2,2,1,1,2,1,1,0,41326,0,5,1,2
190,1,7,307,0,1,1,7,0,1,1,2,2,2,1,1,50,41326,1,1,1,4
191,1,2,307,0,1,1,2,0,2,1,2,2,2,1,1,0,41401,0,4,0,1
192,1,3,307,0,2,2,7,0,1,1,2,1,3,1,3,0,41326,0,2,1,4
193,1,24,307,0,2,2,7,0,2,1,1,1,1,1,1,0,41326,0,24,1,4
194,1,1,307,0,2,2,0,0,2,3,2,2,2,1,1,0,41326,0,3,1,1
195,1,1,307,0,2,2,0,0,2,1,2,2,2,1,1,0,41332,0,1,1,2
196,1,3,307,0,1,3,0,0,3,1,1,1,2,1,2,0,41326,0,9,1,2
197,2,5,266,0,1,1,7,0,1,1,1,2,3,1,1,0,41401,0,4,1,4
198,1,16,205,147,2,5,7,0,1,1,1,1,3,1,1,0,41401,0,3,1,1
199,2,2,266,0,1,3,5,7,2,1,1,1,2,1,1,0,41326,0,5,1,2
200,2,2,265,0,1,5,0,0,1,2,3,3,3,1,1,0,41327,0,6,1,4
201,1,7,205,178,1,2,0,0,2,1,1,1,3,1,1,0,41326,0,8,1,1
202,2,13,266,0,2,2,3,0,2,1,2,1,2,1,1,0,41326,0,5,1,4
203,1,3,307,0,1,1,7,0,2,1,1,1,1,1,1,0,41326,0,3,1,3
204,1,12,307,0,1,1,2,0,2,1,1,1,2,1,1,0,41326,0,1,1,4
205,2,3,266,0,1,1,7,0,1,1,1,1,2,1,1,0,41401,0,9,1,2
206,1,2,307,307,2,1,2,0,2,2,2,2,2,1,1,0,41326,0,1,1,4
207,2,10,266,0,2,4,0,0,2,1,1,1,1,1,1,0,41401,0,8,1,3
208,1,2,307,0,2,4,5,7,2,1,2,1,2,1,1,0,41326,0,5,1,1
209,1,2,307,0,1,1,2,5,2,1,2,2,2,1,1,0,41326,0,2,1,3
210,2,4,266,0,2,1,2,6,3,1,2,2,2,1,1,0,41401,0,8,1,1
211,1,60,109,307,1,2,4,7,2,2,1,1,1,1,1,0,41326,0,5,1,3
212,2,2,266,0,2,1,4,7,2,1,2,2,2,1,6,30,41326,0,6,1,4
213,2,12,266,0,2,2,3,5,2,1,1,1,1,1,1,0,41401,0,2,1,4
214,2,2,266,254,2,1,4,7,1,1,2,2,2,1,1,0,41326,0,5,1,1
215,2,0,292,299,3,2,5,0,2,1,2,2,2,2,3,0,41326,0,1,1,1
216,1,2,307,141,3,5,7,0,3,1,1,1,2,1,3,0,41326,1,8,1,3
217,2,6,266,0,2,3,7,0,2,1,2,1,1,1,1,0,41326,0,5,1,4
218,1,3,307,0,2,1,2,0,3,1,3,3,2,1,1,0,41326,0,2,1,2
219,1,1,307,0,2,1,0,0,2,2,2,1,2,1,1,0,41326,0,4,1,1
220,1,2,307,0,2,1,2,7,1,1,2,2,2,1,4,0,41327,0,5,1,1
221,2,3,265,0,1,4,7,0,2,2,2,2,2,1,1,50,41326,0,3,1,1
222,1,19,307,0,2,1,0,0,2,1,1,1,1,1,1,80,41326,0,3,1,4
223,2,11,266,0,2,1,4,7,2,1,1,1,1,1,1,50,41326,0,5,1,4
224,1,37,307,0,2,2,3,7,2,1,1,1,1,1,1,0,41326,0,5,1,4
225,2,4,288,285,2,1,7,0,1,3,2,2,3,1,1,250,41326,0,3,1,2
226,1,3,307,141,1,5,0,0,2,1,2,1,1,1,1,0,41401,0,6,1,1
227,1,6,307,0,1,1,2,5,2,1,1,1,1,1,1,0,41326,0,1,1,3
228,2,1,266,0,2,3,5,0,2,1,2,2,2,1,1,0,41326,0,7,1,2
229,1,5,307,0,1,1,2,0,2,1,3,3,3,1,1,0,41326,0,0,1,4
230,1,1,307,0,3,1,0,0,2,1,2,2,2,1,6,0,41326,0,5,1,3
231,2,7,266,0,1,1,7,0,2,1,2,1,2,1,1,0,41401,0,2,1,2
232,1,4,307,0,2,1,2,0,2,2,2,1,2,1,1,1,41401,0,1,1,4
233,2,1,266,0,2,1,2,5,2,1,2,2,2,1,1,0,41326,0,0,1,4
234,1,48,307,0,2,2,0,0,2,1,1,1,1,1,1,0,41326,0,1,1,3
235,1,3,69,4,2,2,0,0,1,1,2,2,2,1,1,0,41330,0,3,1,1
236,1,2,307,0,1,1,2,7,2,2,1,1,2,1,1,0,41326,0,1,1,1
237,2,4,266,0,1,4,7,0,1,1,1,1,3,1,1,0,41401,0,5,1,1
238,1,22,205,0,2,5,7,0,2,1,1,1,2,1,1,0,41326,0,3,1,1
239,1,60,179,179,2,2,0,0,1,3,1,1,1,1,1,0,41326,0,3,1,1
240,1,1,218,205,3,1,5,7,2,2,2,2,2,1,4,0,41326,0,2,1,1
241,1,3,31,307,1,1,0,0,2,1,3,3,2,1,1,0,41326,0,2,1,2
242,2,3,266,265,2,1,4,7,2,1,2,1,2,1,4,0,41326,0,5,1,2
243,2,4,265,0,2,5,0,0,2,2,3,3,3,1,1,0,41401,1,4,1,2
244,2,13,285,265,2,1,6,0,2,2,1,1,2,1,1,0,41326,0,3,1,1
245,2,1,266,0,1,1,7,0,1,1,3,3,3,1,1,0,41327,0,1,1,3
246,1,5,141,0,2,1,0,0,2,2,1,1,2,1,1,0,41326,0,8,1,1
247,1,2,307,0,2,1,7,0,2,2,2,1,2,1,1,0,41326,0,12,1,3
248,2,1,266,0,3,1,7,0,2,2,2,2,2,1,3,0,41401,0,4,0,1
249,1,2,128,307,2,2,7,0,2,1,1,1,2,1,1,0,41326,1,9,1,2
250,1,36,307,0,2,2,0,0,2,1,1,1,1,1,1,0,41326,0,1,1,3
251,1,2,307,0,2,1,2,0,2,1,1,1,2,1,1,0,41326,1,4,1,4
252,1,2,307,307,2,1,2,0,2,2,2,1,2,1,1,0,41326,0,4,1,2
253,2,2,266,0,2,1,7,0,2,1,2,1,2,1,1,0,41326,0,3,1,1
254,2,8,299,0,1,3,0,0,2,1,1,1,1,1,1,0,41326,0,2,1,2
255,2,2,265,0,2,1,6,7,2,2,1,1,2,1,1,0,41326,0,4,1,3
256,2,9,299,0,2,2,5,6,1,1,1,1,1,1,1,0,41401,0,3,1,2
257,2,6,266,299,2,6,0,0,2,1,3,3,3,1,1,0,41336,0,4,1,2
258,1,2,307,0,2,1,2,0,2,1,2,2,2,1,3,0,41336,0,3,1,2
259,1,18,20,307,2,2,7,0,2,1,1,1,1,1,1,0,41401,0,10,1,0
260,1,14,307,0,1,2,0,0,3,2,1,1,1,1,1,0,41336,0,3,1,0
261,2,3,266,0,1,1,7,0,1,1,2,2,2,1,2,0,41325,0,9,1,3
262,2,2,266,0,1,7,0,0,2,1,2,1,2,1,1,0,41401,0,2,0,1
263,1,1,307,307,3,1,2,7,3,1,2,1,2,1,20,50,41332,0,5,1,4
264,2,12,247,0,1,1,6,7,2,2,1,1,1,1,1,0,41326,0,1,1,4
265,2,12,266,300,2,1,2,0,2,1,2,3,1,1,1,0,41326,0,1,1,4
266,1,1,70,307,2,1,5,0,2,1,2,2,2,1,1,0,41326,0,5,1,1
267,2,9,266,0,1,1,6,7,2,1,1,1,1,1,2,0,41326,0,0,1,4
268,1,2,307,0,2,1,2,7,2,2,1,1,2,1,1,0,41326,0,2,1,3
269,2,2,265,265,3,6,7,0,1,2,2,2,2,1,4,0,41326,0,7,1,2
270,2,2,266,0,2,2,4,5,2,1,2,2,2,1,3,0,41401,0,4,1,1
271,1,3,307,0,2,2,0,0,2,1,3,3,3,1,1,0,41326,0,2,1,1
272,1,3,307,119,1,5,7,0,2,2,2,2,2,1,1,0,41327,0,4,1,1
273,2,6,266,0,2,4,0,0,1,1,1,1,1,1,1,200,41336,0,6,1,4
274,2,3,292,0,1,1,7,0,1,1,2,2,2,1,1,0,41401,0,1,1,2
275,1,24,307,307,3,1,2,0,2,1,2,2,1,1,2,0,41326,0,2,0,2
276,1,3,307,307,1,2,0,0,3,1,2,2,3,1,1,0,41401,0,3,1,2
277,1,24,307,307,2,2,0,0,2,1,1,1,1,2,1,20,41326,0,2,1,4
278,1,1,307,0,1,2,7,0,2,2,2,2,2,1,1,0,41326,0,1,1,1
279,1,2,307,103,2,1,2,0,2,2,2,1,2,1,1,250,41401,0,13,1,3
280,1,2,307,0,1,3,0,0,2,2,1,1,2,1,1,0,41326,0,1,1,2
281,1,7,307,0,2,2,0,0,2,1,1,1,2,1,1,0,41401,0,1,1,3
282,2,3,264,0,1,1,3,0,1,3,2,2,2,1,1,150,41326,0,3,1,1
283,1,1,307,0,2,2,0,0,2,1,2,2,2,1,1,0,41330,0,2,1,3
284,1,1,307,0,2,1,2,0,2,1,1,1,2,1,1,0,41326,0,9,1,2
285,1,55,20,0,1,1,4,7,2,1,1,1,1,1,1,0,41326,0,5,1,2
286,1,2,200,307,2,1,2,0,2,1,1,1,2,1,1,0,41326,0,3,1,2
287,1,3,307,0,2,1,2,0,2,2,1,1,1,1,1,0,41326,0,3,1,3
288,1,36,213,0,2,3,5,0,2,2,3,3,1,1,1,0,41326,0,9,1,3
289,2,1,265,0,2,1,4,7,2,3,2,1,2,1,1,0,41326,2,10,1,2
290,2,6,292,0,2,2,5,0,2,2,2,2,2,1,1,0,41326,0,3,1,4
291,2,6,265,266,2,2,5,0,2,2,2,2,2,1,1,0,41401,0,3,1,1
292,2,4,247,266,1,2,0,0,2,2,2,2,2,2,1,0,41326,0,4,1,1
293,1,2,307,218,2,2,7,0,2,2,1,1,2,1,1,0,41326,0,3,1,1
294,1,5,307,0,2,1,2,7,2,1,1,1,2,1,1,0,41401,0,1,1,2
295,2,20,265,0,1,1,6,7,3,2,2,1,2,1,1,0,41326,0,4,1,1
296,1,2,307,0,2,2,7,0,2,1,1,1,2,1,1,0,41401,0,6,1,3
297,1,7,307,0,1,2,7,0,2,2,1,3,3,1,1,0,41326,0,1,1,1
298,2,1,266,0,1,1,7,0,2,1,2,1,2,1,1,0,41326,0,6,1,1
299,1,2,307,0,2,1,2,0,2,2,1,1,2,1,2,0,41330,0,5,1,4
300,1,1,307,307,2,1,0,0,2,1,2,2,2,1,1,0,41332,0,1,1,3
301,2,28,248,264,1,1,0,0,3,3,1,1,2,1,1,0,41401,0,5,1,2
302,1,24,26,307,2,1,2,0,2,2,1,1,1,1,1,250,41326,0,9,1,4
303,1,2,307,0,2,1,2,7,2,1,2,1,2,1,2,0,41327,0,2,1,2
304,1,12,307,0,1,2,3,7,2,2,1,1,1,1,1,0,41326,0,0,1,4
305,2,4,266,0,1,1,2,4,2,1,2,2,2,1,1,0,41326,0,4,1,4
